LON,LAT,PARADA,DETALLE,IMAGEN,MAPA
-3.495162827823101,40.320239899535828,Parada 7,"En la bifurcación, coger el camino de la derecha, donde se ve el bosque de ribera del río. Más adelante, se ven los carrizales.",http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_11277_1.jpg,http://sit.rivasciudad.es/web/publico/layar/porpoise/config_oitr/pantailla_mapa.php?imagen=1_12013_1.jpg
-3.492824683356123,40.322634354313237,Parada 8,"A la derecha, se observa la finca privada El Piúl. Enfrente, podemos ver la laguna.",http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_11279_1.jpg,http://sit.rivasciudad.es/web/publico/layar/porpoise/config_oitr/pantailla_mapa.php?imagen=1_12014_1.jpg
-3.495165323241469,40.323345336751537,Parada 9,"Rodeando la laguna, se ven los cantiles de Rivas. Caseta para la observación de aves.",http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_11280_1.jpg,http://sit.rivasciudad.es/web/publico/layar/porpoise/config_oitr/pantailla_mapa.php?imagen=1_12015_1.jpg
-3.504875498672737,40.322207088199654,Parada 11,Llegamos a una zona de recreo.,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_11296_1.jpg,http://sit.rivasciudad.es/web/publico/layar/porpoise/config_oitr/pantailla_mapa.php?imagen=1_12017_1.jpg
-3.511698477631672,40.321164674649381,Parada 2,Entrada a la Laguna El Campillo. A la izquierda podemos ver el Vivero de Ensayos El Campillo.,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_11260_1.jpg,http://sit.rivasciudad.es/web/publico/layar/porpoise/config_oitr/pantailla_mapa.php?imagen=1_12008_1.jpg
-3.496833305445692,40.323049879903884,Parada 10,Se puede ver el eslalom de cipreses. A la derecha podemos observar una fábrica de vigas.,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_11293_1.jpg,http://sit.rivasciudad.es/web/publico/layar/porpoise/config_oitr/pantailla_mapa.php?imagen=1_12016_1.jpg
-3.520218500153561,40.328213084796602,Parada 1,Estación de metro Rivas-Vaciamadrid.,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_11259_1.jpg,http://sit.rivasciudad.es/web/publico/layar/porpoise/config_oitr/pantailla_mapa.php?imagen=1_12007_1.jpg
-3.508474155425759,40.31890393856682,Parada 3,"Seguimos por el camino, a la izquierda vemos los cantiles de Rivas, y a la derecha el Rio Jarama.",http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_11263_1.jpg,http://sit.rivasciudad.es/web/publico/layar/porpoise/config_oitr/pantailla_mapa.php?imagen=1_12009_1.jpg
-3.504899795151885,40.318117580471679,Parada 4,"Llegamos a una fuente de agua. A ambos lados podemos ver chopos, tarays, olmos y sauces.",http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_11264_1.jpg,http://sit.rivasciudad.es/web/publico/layar/porpoise/config_oitr/pantailla_mapa.php?imagen=1_12010_1.jpg
-3.50081685118919,40.319272805741008,Parada 5,"Podemos ver la estación de aforo. Mediciones del caudal del río, velocidad y calidad del agua.",http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_11266_1.jpg,http://sit.rivasciudad.es/web/publico/layar/porpoise/config_oitr/pantailla_mapa.php?imagen=1_12011_1.jpg
-3.497792984398899,40.320720663365087,Parada 6,Seguimos por el camino que lleva al Centro de Educación Ambiental “El Campillo”.,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_11276_1.jpg,http://sit.rivasciudad.es/web/publico/layar/porpoise/config_oitr/pantailla_mapa.php?imagen=1_12012_1.jpg
-3.525331918006716,40.319999088237054,Parada 4,"A lo largo de todo el camino y bordeando el río, se puede observar el bosque de ribera.",http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_11033_1.jpg,http://sit.rivasciudad.es/web/publico/layar/porpoise/config_oitr/pantailla_mapa.php?imagen=0_11083_1.jpg
